sample,tempo para fechamento,number,creator user cargo,creator user seguidores,creator user tempo no GitHub,closed user cargo,closed user seguidores,closed user tempo no GitHub,closed_count,open_count,framework,relative_open_count,relative_closed_count
aws-samples/amazon-ecs-fargate-aspnetcore,,5.0,,161.0,3114.0,,,,0.0,1.0,AWS,100.0,0.0
aws-samples/amazon-ecs-fargate-cdk-cicd,12.0,10.0,,0.0,264.0,,4.0,1901.0,1.0,0.0,AWS,0.0,100.0
aws-samples/amazon-ecs-fargate-workshop-dev-ops-data,,2.0,,1.0,2484.0,,,,0.0,1.0,AWS,100.0,0.0
aws-samples/amazon-ecs-firelens-examples,26.764705882352942,32.0,,11.157894736842104,1967.157894736842,,17.352941176470587,1620.764705882353,17.0,2.0,AWS,10.526315789473683,89.47368421052632
aws-samples/amazon-ecs-firelens-under-the-hood,,2.0,,0.0,1892.0,,,,0.0,1.0,AWS,100.0,0.0
aws-samples/amazon-ecs-gmsa,,2.0,,1.0,848.0,,,,0.0,1.0,AWS,100.0,0.0
aws-samples/amazon-ecs-java-microservices,51.75,8.076923076923077,,2.5384615384615383,1285.076923076923,,3.75,1500.0,4.0,9.0,AWS,69.23076923076923,30.76923076923077
aws-samples/amazon-ecs-mythicalmysfits-workshop,69.28571428571429,18.85,,2.25,1338.2,,4.142857142857143,2219.5714285714284,7.0,13.0,AWS,65.0,35.0
aws-samples/amazon-efs-tutorial,44.111111111111114,10.928571428571429,,4.571428571428571,1947.4285714285713,,6.111111111111111,1934.888888888889,9.0,5.0,AWS,35.714285714285715,64.28571428571429
aws-samples/amazon-eks-and-amazon-ec2-k8s-container-networking-workshops,21.5,4.666666666666667,,8.0,1544.3333333333333,,31.0,558.5,2.0,1.0,AWS,33.33333333333333,66.66666666666666
aws-samples/amazon-eks-apache-spark-etl-sample,227.0,2.5,,3.5,1908.0,,8.0,2364.6666666666665,3.0,1.0,AWS,25.0,75.0
aws-samples/amazon-eks-bottlerocket-mngnodegrp-terraform,,1.0,,19.0,2922.0,,,,0.0,1.0,AWS,100.0,0.0
aws-samples/amazon-eks-cdk-blue-green-cicd,25.375,5.625,,7.5,1455.75,,4.0,1665.25,8.0,0.0,AWS,0.0,100.0
aws-samples/amazon-eks-cicd-codebuild,1.8,36.214285714285715,,247.28571428571428,2733.1428571428573,,296.6,3189.4,10.0,4.0,AWS,28.57142857142857,71.42857142857143
aws-samples/amazon-eks-custom-amis,23.25,11.846153846153847,,9.538461538461538,1948.8461538461538,,34.0,3497.0,12.0,1.0,AWS,7.6923076923076925,92.3076923076923
aws-samples/amazon-eks-fluent-logging-examples,0.0,4.0,,39.5,2530.0,,13.0,2409.0,1.0,1.0,AWS,50.0,50.0
aws-samples/amazon-eks-gmsa,4.5,5.0,,1.3333333333333333,1583.5,,4.0,1011.0,2.0,4.0,AWS,66.66666666666666,33.33333333333333
aws-samples/amazon-eks-jenkins-terraform,0.0,3.0,,10.5,3072.0,,16.0,3499.0,1.0,1.0,AWS,50.0,50.0
aws-samples/amazon-eks-machine-learning-with-terraform-and-kubeflow,94.58333333333333,8.76923076923077,,4.384615384615385,2093.4615384615386,,6.0,2698.5,12.0,1.0,AWS,7.6923076923076925,92.3076923076923
aws-samples/amazon-eks-refarch-cloudformation,134.55555555555554,9.555555555555555,,383.77777777777777,3299.777777777778,,437.1111111111111,3501.3333333333335,9.0,0.0,AWS,0.0,100.0
aws-samples/amazon-eks-sample-http-service,0.0,1.5,,0.0,1397.5,,50.0,4253.0,1.0,1.0,AWS,50.0,50.0
aws-samples/amazon-elastic-inference-eks,,1.0,,18.0,2283.0,,,,0.0,1.0,AWS,100.0,0.0
aws-samples/amazon-elasticsearch-intro-workshop,3.0,3.0,,0.0,313.0,,8.0,2875.0,1.0,0.0,AWS,0.0,100.0
aws-samples/amazon-elasticsearch-lambda-samples,49.666666666666664,12.294117647058824,,275.2352941176471,1433.2941176470588,,42.666666666666664,759.3333333333334,3.0,14.0,AWS,82.35294117647058,17.647058823529413
aws-samples/amazon-elasticsearch-service-monitor,,6.0,,0.0,2655.0,,,,0.0,1.0,AWS,100.0,0.0
aws-samples/amazon-elasticsearch-service-with-authentication,0.0,2.5,,4.5,1487.0,,0.0,324.0,1.0,1.0,AWS,50.0,50.0
aws-samples/amazon-elasticsearch-service-with-cognito,45.75,3.25,,17.0,2335.0,,35.0,3379.5,4.0,0.0,AWS,0.0,100.0
aws-samples/amazon-emr-with-juicefs,,89.0,,4.0,243.0,,,,0.0,1.0,AWS,100.0,0.0
aws-samples/amazon-eventbridge-integration-with-auth0,209.0,1.0,,0.0,924.0,,31.0,2385.0,1.0,0.0,AWS,0.0,100.0
aws-samples/amazon-forecast-automation,,3.5,,1.0,72.0,,,,0.0,6.0,AWS,100.0,0.0
aws-samples/amazon-forecast-samples,18.27777777777778,54.666666666666664,,13.333333333333334,2120.358974358974,,6.277777777777778,2474.8888888888887,18.0,21.0,AWS,53.84615384615385,46.15384615384615
aws-samples/amazon-fraud-detector-bot-detection-demo,,1.0,,2.0,1622.0,,,,0.0,1.0,AWS,100.0,0.0
aws-samples/amazon-freertos-iot-conveyor-belt,0.0,10.0,,1.0,1407.0,,1.0,1407.0,1.0,0.0,AWS,0.0,100.0
aws-samples/amazon-freertos-ota-scripts,0.0,1.0,,0.0,205.0,,0.0,205.0,1.0,0.0,AWS,0.0,100.0
aws-samples/amazon-fsx-workshop,166.0,4.0,,7.333333333333333,2658.6666666666665,,11.0,2614.0,2.0,1.0,AWS,33.33333333333333,66.66666666666666
aws-samples/amazon-gamelift-ultrafrogroyale-large-match-sample,26.0,3.25,,2.75,1413.0,,4.0,1286.0,1.0,3.0,AWS,75.0,25.0
aws-samples/amazon-gamelift-unity,22.666666666666668,8.727272727272727,,4.090909090909091,1811.8181818181818,,2.7777777777777777,1331.4444444444443,9.0,2.0,AWS,18.181818181818183,81.81818181818183
aws-samples/amazon-guardduty-hands-on,11.0,7.0,,0.0,1643.5,,12.0,506.0,1.0,1.0,AWS,50.0,50.0
aws-samples/amazon-guardduty-multiaccount-scripts,39.94117647058823,19.476190476190474,,12.904761904761905,1320.1904761904761,,7.0588235294117645,1929.2941176470588,17.0,4.0,AWS,19.047619047619047,80.95238095238095
